Assessoria Pericial - Engenharia Civil
Assessoria Pericial - Psicologia
Assessoria Pericial - Saúde
Assessoria Pericial - Serviço Social
Assessoria Técnica para Educação para o Consumo
Centro de Apoio Operacional das Promotorias de Justica Criminais
Centro de Apoio Operacional de Combate Corrupcao e defesa do Patrimonio Publico
Centro de Apoio Operacional de defesa da Infancia e Juventude
Centro de Apoio Operacional de defesa da Saude
Centro de Apoio Operacional de defesa do Meio Ambiente
CEAF
Centro de Apoio Operacional de defesa da Educação
Centro de Apoio Operacional de Promocao da Cidadania e Inclusao Social
Chefia de Gabinete do Procurador Geral
Comissão Permanente de Processos Administrativos Disciplinares
Comitê Estratégico de Proteção de Dados
Comitê Estratégico de TI
Comitê Gestor das Tabelas Unificadas MPPI
Comite Gestor de Seguranca Institucional
Controladoria Interna
Coordenação do Gabinete de Seguranca Institucional
Coordenação do Nucleo das PJ Civeis de Teresina
Grupo de Atuação Especial de Combate ao Crime Organizado – GAECO
Coordenadoria de Apoio Administrativo
Coordenadoria de Comunicação Social
Coordenadoria de Contabilidade e Financas
Coordenadoria de Licitacoes e Contratos
Coordenadoria de Pericias e Pareceres Tecnicos
Coordenadoria de Recursos Humanos
Coordenadoria de Tecnologia da Informacao
Corregedoria-Geral do MP
Curso de Adaptação - Novos Membros
Divisão de desenvolvimento Humano
Divisão de Gestão de Documentos
Escola Estadual de defesa do Consumidor
Fundo Estadual de Proteção e defesa do Consumidor
Gabinete de Gestão de Crises nos Sistemas de Segurança Pública e Prisional
Gabinete do Procurador-Geral
Grupo de Atuação Especial de Controle Externo da Atividade Policial – GACEP
Grupo de Apoio aos Promotores Com Atuação no Tribunal do Juri – GAEJ
Grupo de Apoio aos Promotores Eleitorais
Grupo de Assessoramento Tecnico Especializado
Grupo de Atuação Recursal – GAREC
Grupo de Trabalho Plano Pena Justa
Grupo Interinstitucional de Combate aos Crimes Contra a Ordem Tributária – GRINCOT
Grupo Nacional de defesa do Consumidor
Junta Recursal PROCON
LAB-LD
LGPD
Nucleo das PJ Civeis de Campo Maior
Nucleo das PJ Civeis de Floriano
Nucleo das PJ Civeis de Parnaiba
Nucleo das PJ Civeis de Picos
Nucleo das PJ Civeis de Teresina
Nucleo das PJ Criminais de Oeiras
Nucleo das PJ Criminais de Parnaiba
Nucleo das PJ Criminais de Picos
Nucleo das PJ Criminais de Piripiri
Nucleo das PJ Criminais de Teresina
Nucleo das PJ da Central de Inquéritos
Nucleo das PJ da Infancia e Juventude de Teresina
Nucleo das PJ de def. da Cidadania e Meio Amb. de Teresina
Nucleo das PJ de defesa do Patrimônio Público e da Probidade Administrativa
Núcleo das Promotorias de Justiça de defesa da Mulher Vítima de Violência Doméstica e Familiar de Teresina – NUPEVID
Nucleo das PJ de Esperantina
Núcleo das PJ de Execução Penal e Controle Externo da Atividade Policial
Nucleo das PJ de Famílias e Sucessões de Teresina
Nucleo das PJ de Floriano
Nucleo das PJ de Piracuruca
Nucleo das PJ de Piripiri
Nucleo das PJ de Sao Raimundo Nonato
Nucleo das PJ de Simplicio Mendes
Nucleo das PJ de Uniao
Nucleo das PJ de Valenca do Piaui
Nucleo das PJ do Juri de Teresina
Nucleo das PJ dos Juizados Especiais de Teresina
Nucleo das PJ Urucui
Nucleo das PJs de Pedro II
Nucleo das PJs de Sao Joao do Piaui
Nucleo das Procuradorias Civeis
Nucleo das Procuradorias Criminais
Nucleo das Prom de Justica de Altos
Nucleo das Promotorias Justica de Picos
Núcleo de Atendimento às Vitimas de Crime - NAVI
Núcleo de Estratégias e Desenvolvimento em Inteligência Artificial
Núcleo de Práticas Autocompositivas e Restaurativas
Núcleo de Tecnologia da Informação
Nucleo PJ Civeis Oeiras
Nucleo PJ Criminais de Campo Maior
Nucleo Promotoria de Justica de Barras
Nucleo Promotorias Justica Jose de Freitas
Ouvidoria-Geral do MP
PROCON
Promotoria de Capitao de Campos
Promotoria de Elesbao Veloso
Promotoria de Justica de demerval Lobao
Promotoria de Justica de Avelino Lopes
Promotoria de Justica de Buriti dos Lopes
Promotoria de Justica de Canto do Buriti
Promotoria de Justica de Castelo do Piaui
Promotoria de Justica de Cristino Castro
Promotoria de Justica de Agua Branca
Promotoria de Justica de Amarante
Promotoria de Justica de Angical do Piaui
Promotoria de Justica de Barro Duro
Promotoria de Justica de Batalha
Promotoria de Justica de Beneditinos
Promotoria de Justica de Caracol
Promotoria de Justica de Cocal
Promotoria de Justiça de Conflitos Fundiários
Promotoria de Justica de Fronteiras
Promotoria de Justica de Gilbues
Promotoria de Justica de Guadalupe
Promotoria de Justica de Inhuma
Promotoria de Justica de Itainopolis
Promotoria de Justica de Itaueira
Promotoria de Justica de Jaicos
Promotoria de Justica de Jerumenha
Promotoria de Justica de Jose de Freitas
Promotoria de Justica de Luis Correia
Promotoria de Justica de Luzilandia
Promotoria de Justica de Manoel Emidio
Promotoria de Justica de Marcos Parente
Promotoria de Justica de Matias Olimpio
Promotoria de Justica de Miguel Alves
Promotoria de Justica de Monsenhor Gil
Promotoria de Justica de Nossa Senhora dos Remedios
Promotoria de Justica de Padre Marcos
Promotoria de Justica de Parnagua
Promotoria de Justiça de Paulistana
Promotoria de Justica de Pio IX
Promotoria de Justica de Porto
Promotoria de Justica de Regeneracao
Promotoria de Justica de Sao Pedro do Piaui
Promotoria de Justiça de Simoes
Promotoria de Justica Ribeiro Goncalves
Promotoria de Justica Sao Miguel do Tapuio
Secretaria do Conselho Superior do MP
Secretaria do CPJ
